model prior treeSize rep method collision trueNmus estNmus
s0d100 01 sub250 r03 Startle 0.6501005458201663 12 13
s0d100 01 sub250 r03 Startle 0.6544421487603302 39 36
s0d100 01 sub250 r03 Startle 0.07435238519555733 36 33
s0d100 01 sub250 r03 Startle 0.8276643990929707 38 33
s0d100 01 sub250 r03 Startle 0.07391235078303943 19 18
s0d100 01 sub250 r03 Startle 0.1408822513476628 39 35
s0d100 01 sub250 r03 Startle 0.506172839506173 35 33
s0d100 01 sub250 r03 Startle 0.1056547619047619 31 29
s0d100 01 sub250 r03 Startle 0.04998488191013573 25 23
s0d100 01 sub250 r03 Startle 0.11375227912395963 52 51
s0d100 01 sub250 r03 Startle 0.0831366916316132 30 31
s0d100 01 sub250 r03 Startle 0.24000000000000007 30 29
s0d100 01 sub250 r03 Startle 0.07281498073244905 20 21
s0d100 01 sub250 r03 Startle 0.08088172664770402 29 30
s0d100 01 sub250 r03 Startle 0.06043714314909277 21 19
s0d100 01 sub250 r03 Startle 0.093643069452796 15 15
s0d100 01 sub250 r03 Startle 0.6573781480417507 28 25
s0d100 01 sub250 r03 Startle 0.06881374304835514 37 34
s0d100 01 sub250 r03 Startle 0.6302237757872725 13 15
s0d100 01 sub250 r03 Cass-greedy 0.7373002754820938 21 22
s0d100 01 sub250 r03 Cass-greedy 0.6121810018903592 0 1
s0d100 01 sub250 r03 Cass-greedy 1.0 36 43
s0d100 01 sub250 r03 Cass-greedy 0.8003525076109598 29 38
s0d100 01 sub250 r03 Cass-greedy 0.040868105810249335 31 34
s0d100 01 sub250 r03 Cass-greedy 0.11625526802607089 25 28
s0d100 01 sub250 r03 Cass-greedy 0.07084745770929712 27 31
s0d100 01 sub250 r03 Cass-greedy 0.0923300846928096 34 42
s0d100 01 sub250 r03 Cass-greedy 0.6501005458201663 26 33
s0d100 01 sub250 r03 Cass-greedy 0.11717390320470354 28 33
s0d100 01 sub250 r03 Cass-greedy 0.8936718904979173 11 10
s0d100 01 sub250 r03 Cass-greedy 0.6501005458201663 12 16
s0d100 01 sub250 r03 Cass-greedy 0.6544421487603302 39 43
s0d100 01 sub250 r03 Cass-greedy 0.07435238519555733 36 40
s0d100 01 sub250 r03 Cass-greedy 0.8276643990929707 38 44
s0d100 01 sub250 r03 Cass-greedy 0.07391235078303943 19 20
s0d100 01 sub250 r03 Cass-greedy 0.1408822513476628 39 44
s0d100 01 sub250 r03 Cass-greedy 0.506172839506173 35 47
s0d100 01 sub250 r03 Cass-greedy 0.1056547619047619 31 37
s0d100 01 sub250 r03 Cass-greedy 0.04998488191013573 25 24
s0d100 01 sub250 r03 Cass-greedy 0.11375227912395963 52 60
s0d100 01 sub250 r03 Cass-greedy 0.0831366916316132 30 30
s0d100 01 sub250 r03 Cass-greedy 0.24000000000000007 30 40
s0d100 01 sub250 r03 Cass-greedy 0.07281498073244905 20 23
s0d100 01 sub250 r03 Cass-greedy 0.08088172664770402 29 33
s0d100 01 sub250 r03 Cass-greedy 0.06043714314909277 21 23
s0d100 01 sub250 r03 Cass-greedy 0.093643069452796 15 14
s0d100 01 sub250 r03 Cass-greedy 0.6573781480417507 28 34
s0d100 01 sub250 r03 Cass-greedy 0.06881374304835514 37 38
s0d100 01 sub250 r03 Cass-greedy 0.6302237757872725 13 21
s0d100 01 sub250 r04 Problin 0.7373002754820938 21 22
s0d100 01 sub250 r04 Problin 0.6121810018903592 0 1
s0d100 01 sub250 r04 Problin 1.0 39 37
s0d100 01 sub250 r04 Problin 0.8003525076109598 28 30
s0d100 01 sub250 r04 Problin 0.040868105810249335 26 27
s0d100 01 sub250 r04 Problin 0.11625526802607089 21 19
s0d100 01 sub250 r04 Problin 0.07084745770929712 28 27
s0d100 01 sub250 r04 Problin 0.0923300846928096 26 28
s0d100 01 sub250 r04 Problin 0.6501005458201663 30 28
s0d100 01 sub250 r04 Problin 0.11717390320470354 27 25
s0d100 01 sub250 r04 Problin 0.8936718904979173 11 11
s0d100 01 sub250 r04 Problin 0.6501005458201663 14 15
s0d100 01 sub250 r04 Problin 0.6544421487603302 42 37
s0d100 01 sub250 r04 Problin 0.07435238519555733 38 41
s0d100 01 sub250 r04 Problin 0.8276643990929707 35 30
s0d100 01 sub250 r04 Problin 0.07391235078303943 26 23
s0d100 01 sub250 r04 Problin 0.1408822513476628 42 41
s0d100 01 sub250 r04 Problin 0.506172839506173 32 27
s0d100 01 sub250 r04 Problin 0.1056547619047619 41 42
s0d100 01 sub250 r04 Problin 0.04998488191013573 27 28
s0d100 01 sub250 r04 Problin 0.11375227912395963 40 41
s0d100 01 sub250 r04 Problin 0.0831366916316132 22 21
s0d100 01 sub250 r04 Problin 0.24000000000000007 28 26
s0d100 01 sub250 r04 Problin 0.07281498073244905 23 24
s0d100 01 sub250 r04 Problin 0.08088172664770402 32 35
s0d100 01 sub250 r04 Problin 0.06043714314909277 15 17
s0d100 01 sub250 r04 Problin 0.093643069452796 15 16
s0d100 01 sub250 r04 Problin 0.6573781480417507 30 29
s0d100 01 sub250 r04 Problin 0.06881374304835514 34 34
s0d100 01 sub250 r04 Problin 0.6302237757872725 13 12
s0d100 01 sub250 r04 Startle 0.7373002754820938 21 18
s0d100 01 sub250 r04 Startle 0.6121810018903592 0 1
s0d100 01 sub250 r04 Startle 1.0 39 43
s0d100 01 sub250 r04 Startle 0.8003525076109598 28 26
s0d100 01 sub250 r04 Startle 0.040868105810249335 26 26
s0d100 01 sub250 r04 Startle 0.11625526802607089 21 18
s0d100 01 sub250 r04 Startle 0.07084745770929712 28 27
s0d100 01 sub250 r04 Startle 0.0923300846928096 26 26
s0d100 01 sub250 r04 Startle 0.6501005458201663 30 28
s0d100 01 sub250 r04 Startle 0.11717390320470354 27 25
s0d100 01 sub250 r04 Startle 0.8936718904979173 11 10
s0d100 01 sub250 r04 Startle 0.6501005458201663 14 13
s0d100 01 sub250 r04 Startle 0.6544421487603302 42 32
s0d100 01 sub250 r04 Startle 0.07435238519555733 38 38
s0d100 01 sub250 r04 Startle 0.8276643990929707 35 26
s0d100 01 sub250 r04 Startle 0.07391235078303943 26 23
s0d100 01 sub250 r04 Startle 0.1408822513476628 42 40
s0d100 01 sub250 r04 Startle 0.506172839506173 32 29
s0d100 01 sub250 r04 Startle 0.1056547619047619 41 39
s0d100 01 sub250 r04 Startle 0.04998488191013573 27 27
s0d100 01 sub250 r04 Startle 0.11375227912395963 40 40
s0d100 01 sub250 r04 Startle 0.0831366916316132 22 21
s0d100 01 sub250 r04 Startle 0.24000000000000007 28 26
s0d100 01 sub250 r04 Startle 0.07281498073244905 23 23
s0d100 01 sub250 r04 Startle 0.08088172664770402 32 32
s0d100 01 sub250 r04 Startle 0.06043714314909277 15 15
s0d100 01 sub250 r04 Startle 0.093643069452796 15 15
s0d100 01 sub250 r04 Startle 0.6573781480417507 30 25
s0d100 01 sub250 r04 Startle 0.06881374304835514 34 33
s0d100 01 sub250 r04 Startle 0.6302237757872725 13 11
s0d100 01 sub250 r04 Cass-greedy 0.7373002754820938 21 23
s0d100 01 sub250 r04 Cass-greedy 0.6121810018903592 0 1
s0d100 01 sub250 r04 Cass-greedy 1.0 39 51
s0d100 01 sub250 r04 Cass-greedy 0.8003525076109598 28 39
s0d100 01 sub250 r04 Cass-greedy 0.040868105810249335 26 28
s0d100 01 sub250 r04 Cass-greedy 0.11625526802607089 21 22
s0d100 01 sub250 r04 Cass-greedy 0.07084745770929712 28 26
s0d100 01 sub250 r04 Cass-greedy 0.0923300846928096 26 32
s0d100 01 sub250 r04 Cass-greedy 0.6501005458201663 30 38
s0d100 01 sub250 r04 Cass-greedy 0.11717390320470354 27 32
s0d100 01 sub250 r04 Cass-greedy 0.8936718904979173 11 10
s0d100 01 sub250 r04 Cass-greedy 0.6501005458201663 14 20
s0d100 01 sub250 r04 Cass-greedy 0.6544421487603302 42 46
s0d100 01 sub250 r04 Cass-greedy 0.07435238519555733 38 45
s0d100 01 sub250 r04 Cass-greedy 0.8276643990929707 35 36
s0d100 01 sub250 r04 Cass-greedy 0.07391235078303943 26 26
s0d100 01 sub250 r04 Cass-greedy 0.1408822513476628 42 48
s0d100 01 sub250 r04 Cass-greedy 0.506172839506173 32 42
s0d100 01 sub250 r04 Cass-greedy 0.1056547619047619 41 43
s0d100 01 sub250 r04 Cass-greedy 0.04998488191013573 27 30
s0d100 01 sub250 r04 Cass-greedy 0.11375227912395963 40 45
s0d100 01 sub250 r04 Cass-greedy 0.0831366916316132 22 23
s0d100 01 sub250 r04 Cass-greedy 0.24000000000000007 28 33
s0d100 01 sub250 r04 Cass-greedy 0.07281498073244905 23 25
s0d100 01 sub250 r04 Cass-greedy 0.08088172664770402 32 38
s0d100 01 sub250 r04 Cass-greedy 0.06043714314909277 15 15
s0d100 01 sub250 r04 Cass-greedy 0.093643069452796 15 15
s0d100 01 sub250 r04 Cass-greedy 0.6573781480417507 30 38
s0d100 01 sub250 r04 Cass-greedy 0.06881374304835514 34 39
s0d100 01 sub250 r04 Cass-greedy 0.6302237757872725 13 16
s0d100 01 sub250 r05 Problin 0.7373002754820938 23 24
s0d100 01 sub250 r05 Problin 0.6121810018903592 0 1
s0d100 01 sub250 r05 Problin 1.0 42 46
s0d100 01 sub250 r05 Problin 0.8003525076109598 29 29
