num_chars,alphabet_size,seed_prior,num_cells,seq_prior,algorithm,memory_usage,cpu_usage,runtime
30,100,7,250,1,laml_fastEM_gpu,,,4725.69
30,30,2,250,1,laml_fastEM_gpu,36248223.744,55.0,4274.95
30,30,1,1000,3,laml_fastEM_gpu,36252418.048,56.0,29479.33
30,30,1,250,2,laml_fastEM_gpu,36248223.744,70.0,4150.83
30,30,2,250,3,laml_fastEM_gpu,,,5112.18
30,30,1,1000,5,laml_fastEM_gpu,36252418.048,75.0,23481.57
30,100,6,250,2,laml_fastEM_gpu,,,6399.93
30,30,3,250,5,laml_fastEM_gpu,,,3099.62
30,100,5,250,5,laml_fastEM_gpu,,,7155.3
30,30,5,250,5,laml_fastEM_gpu,,,6515.83
30,100,2,1000,5,laml_fastEM_gpu,36252418.048,56.0,26772.06
30,100,1,500,4,laml_fastEM_gpu,36250320.896,76.0,13733.69
30,100,10,250,5,laml_fastEM_gpu,,,6097.77
30,100,9,250,1,laml_fastEM_gpu,,,4777.5
30,100,1,250,4,laml_fastEM_gpu,36248223.744,71.0,4539.6
30,100,2,500,5,laml_fastEM_gpu,36252418.048,60.0,11435.62
30,100,7,250,2,laml_fastEM_gpu,,,8381.22
30,100,2,1000,1,laml_fastEM_gpu,36252418.048,75.0,30310.28
30,30,5,250,2,laml_fastEM_gpu,,,5687.64
30,100,7,250,5,laml_fastEM_gpu,,,6727.18
30,30,1,250,3,laml_fastEM_gpu,36248223.744,52.0,5411.5
30,30,2,500,4,laml_fastEM_gpu,36250320.896,73.0,12761.21
30,100,8,250,5,laml_fastEM_gpu,,,6803.81
30,100,4,250,5,laml_fastEM_gpu,,,6485.28
30,100,8,250,4,laml_fastEM_gpu,,,4139.37
30,30,2,250,3,greedy,3672,0.0,0.0
30,30,3,250,1,greedy,3680,0.0,0.0
30,30,3,250,2,greedy,3680,0.0,0.0
30,30,3,250,3,greedy,3668,0.0,0.0
30,30,3,250,4,greedy,3756,0.0,0.0
30,30,3,250,5,greedy,3604,0.0,0.0
30,30,4,250,1,greedy,3688,0.0,0.0
30,30,4,250,2,greedy,3684,0.0,0.0
30,30,4,250,3,greedy,3892,0.0,0.0
30,30,4,250,4,greedy,3704,0.0,0.0
30,30,4,250,5,greedy,3572,0.0,0.0
30,30,5,250,1,greedy,3940,0.0,0.0
30,30,5,250,2,greedy,3672,0.0,0.0
30,30,5,250,3,greedy,3680,0.0,0.0
30,30,5,250,4,greedy,3676,0.0,0.0
30,30,5,250,5,greedy,3872,0.0,0.0
30,30,6,250,1,greedy,3684,0.0,0.0
30,30,6,250,2,greedy,3768,0.0,0.0
30,30,6,250,3,greedy,3680,0.0,0.0
30,30,6,250,4,greedy,3672,0.0,0.0
30,30,6,250,5,greedy,3680,0.0,0.0
30,30,7,250,1,greedy,3784,0.0,0.0
30,30,7,250,2,greedy,3676,0.0,0.0
30,30,7,250,3,greedy,3668,0.0,0.0
30,30,7,250,4,greedy,3668,0.0,0.0
30,30,7,250,5,greedy,3.50M,0.0,0.0
30,30,8,250,1,greedy,3760,0.0,0.0
30,30,8,250,2,greedy,3652,0.0,0.0
30,30,8,250,3,greedy,3684,0.0,0.0
30,30,8,250,4,greedy,3688,0.0,0.0
30,30,8,250,5,greedy,3672,0.0,0.0
30,30,9,250,1,greedy,3680,0.0,0.0
30,30,9,250,2,greedy,3668,0.0,0.0
30,30,9,250,3,greedy,3676,0.0,0.0
30,30,9,250,4,greedy,3644,0.0,0.0
30,30,9,250,5,greedy,3688,0.0,0.0
30,30,10,250,1,greedy,3680,0.0,0.0
30,30,10,250,2,greedy,3684,0.0,0.0
30,30,10,250,3,greedy,3720,0.0,0.0
30,30,10,250,4,greedy,3560,0.0,0.0
30,30,10,250,5,greedy,3908,0.0,0.0
30,100,2,250,1,greedy,3680,0.0,0.0
30,100,3,250,1,greedy,3680,0.0,0.0
30,100,3,250,2,greedy,3936,0.0,0.0
30,100,3,250,3,greedy,3676,0.0,0.0
30,100,3,250,4,greedy,3744,0.0,0.0
30,100,3,250,5,greedy,3576,0.0,0.0
30,100,4,250,1,greedy,3684,0.0,0.0
30,100,4,250,2,greedy,3636,0.0,0.0
30,100,4,250,3,greedy,3684,0.0,0.0
30,100,4,250,4,greedy,3656,0.0,0.0
30,100,4,250,5,greedy,3572,0.0,0.0
30,100,5,250,1,greedy,3548,0.0,0.0
30,100,5,250,2,greedy,3680,0.0,0.0
30,100,5,250,3,greedy,3724,0.0,0.0
30,100,5,250,4,greedy,3684,0.0,0.0
30,100,5,250,5,greedy,3572,0.0,0.0
30,100,6,250,1,greedy,3676,0.0,0.0
30,100,6,250,2,greedy,3696,0.0,0.0
30,100,6,250,3,greedy,3800,0.0,0.0
30,100,6,250,4,greedy,3700,0.0,0.0
