Method,Sample,Runtime,TotalSeconds
scmail,s75d25p03_sub250_r01,190m44.693s,11444.7
scmail,s75d25p03_sub250_r02,248m20.086s,14900.1
scmail,s75d25p03_sub250_r03,131m32.474s,7892.47
scmail,s75d25p03_sub250_r04,81m23.771s,4883.77
scmail,s75d25p03_sub250_r05,67m0.141s,4020.14
scmail,s75d25p04_sub250_r01,68m49.196s,4129.2
scmail,s75d25p04_sub250_r02,86m27.802s,5187.8
scmail,s75d25p04_sub250_r03,56m46.379s,3406.38
scmail,s75d25p04_sub250_r04,67m52.150s,4072.15
scmail,s0d100p05_sub250_r02,122m6.134s,7326.13
scmail,s75d25p04_sub250_r05,80m59.667s,4859.67
scmail,s75d25p05_sub250_r01,87m48.207s,5268.21
scmail,s75d25p05_sub250_r02,145m39.077s,8739.08
scmail,s75d25p05_sub250_r03,137m36.230s,8256.23
scmail,s75d25p05_sub250_r04,183m29.832s,11009.8
scmail,s75d25p05_sub250_r05,32m35.771s,1955.77
scmail,s75d25p06_sub250_r01,48m47.718s,2927.72
scmail,s75d25p06_sub250_r02,84m54.351s,5094.35
scmail,s75d25p06_sub250_r03,30m23.783s,1823.78
scmail,s75d25p06_sub250_r04,47m23.425s,2843.43
scmail,s0d100p05_sub250_r03,114m39.626s,6879.63
scmail,s75d25p06_sub250_r05,24m23.848s,1463.85
scmail,s75d25p07_sub250_r01,28m23.621s,1703.62
scmail,s75d25p07_sub250_r02,63m52.373s,3832.37
scmail,s75d25p07_sub250_r03,66m42.918s,4002.92
scmail,s75d25p07_sub250_r04,23m22.247s,1402.25
scmail,s75d25p07_sub250_r05,31m32.461s,1892.46
scmail,s75d25p08_sub250_r01,92m9.806s,5529.81
scmail,s75d25p08_sub250_r02,31m45.383s,1905.38
scmail,s75d25p08_sub250_r03,72m49.336s,4369.34
scmail,s75d25p08_sub250_r04,32m59.870s,1979.87
scmail,s0d100p05_sub250_r04,111m32.785s,6692.78
scmail,s75d25p08_sub250_r05,56m10.435s,3370.43
scmail,s75d25p09_sub250_r01,95m35.173s,5735.17
scmail,s75d25p09_sub250_r02,85m9.504s,5109.5
scmail,s75d25p09_sub250_r03,38m51.446s,2331.45
scmail,s75d25p09_sub250_r04,61m47.419s,3707.42
scmail,s75d25p09_sub250_r05,53m0.538s,3180.54
scmail,s75d25p10_sub250_r01,113m36.480s,6816.48
scmail,s75d25p10_sub250_r02,97m45.906s,5865.91
scmail,s75d25p10_sub250_r03,114m14.811s,6854.81
scmail,s75d25p10_sub250_r04,59m34.092s,3574.09
scmail,s0d100p05_sub250_r05,32m49.010s,1969.01
scmail,s75d25p10_sub250_r05,69m40.760s,4180.76
scmail,s0d100p06_sub250_r01,185m23.856s,11123.9
scmail,s0d100p06_sub250_r02,102m36.385s,6156.39
scmail,s0d100p06_sub250_r03,108m54.408s,6534.41
scmail,s0d100p06_sub250_r04,66m5.686s,3965.69
scmail,s0d100p01_sub250_r03,34m24.541s,2064.54
scmail,s0d100p06_sub250_r05,56m14.694s,3374.69
