M,p_rep,rep,modelcond,method,rf
80,05,03,s50d50,casshybrid,NA
80,05,03,s50d50,startle,0.404858
80,05,03,s50d50,laml,0.371717
80,05,04,s50d50,cassgreedy,0.579176
80,05,04,s50d50,casshybrid,NA
80,05,04,s50d50,startle,0.360324
80,05,04,s50d50,laml,0.323232
80,05,05,s50d50,cassgreedy,0.707424
80,05,05,s50d50,casshybrid,NA
80,05,05,s50d50,startle,0.429150
80,05,05,s50d50,laml,0.347475
80,06,01,s50d50,cassgreedy,0.554084
80,06,01,s50d50,casshybrid,NA
80,06,01,s50d50,startle,0.417004
80,06,01,s50d50,laml,0.412121
80,06,02,s50d50,cassgreedy,0.617778
80,06,02,s50d50,casshybrid,NA
80,06,02,s50d50,startle,0.356275
80,06,02,s50d50,laml,0.347475
80,06,03,s50d50,cassgreedy,0.569845
80,06,03,s50d50,casshybrid,NA
80,06,03,s50d50,startle,0.360324
80,06,03,s50d50,laml,0.347475
80,06,04,s50d50,cassgreedy,0.633110
80,06,04,s50d50,casshybrid,NA
80,06,04,s50d50,startle,0.481781
80,06,04,s50d50,laml,0.480808
80,06,05,s50d50,cassgreedy,0.553571
80,06,05,s50d50,casshybrid,NA
80,06,05,s50d50,startle,0.392713
80,06,05,s50d50,laml,0.371717
80,07,01,s50d50,cassgreedy,0.620915
80,07,01,s50d50,casshybrid,NA
80,07,01,s50d50,startle,0.323887
80,07,01,s50d50,laml,0.282828
80,07,02,s50d50,cassgreedy,0.580357
80,07,02,s50d50,casshybrid,NA
80,07,02,s50d50,startle,0.327935
80,07,02,s50d50,laml,0.307071
80,07,03,s50d50,cassgreedy,0.677704
80,07,03,s50d50,casshybrid,NA
80,07,03,s50d50,startle,0.372470
80,07,03,s50d50,laml,0.210101
80,07,04,s50d50,cassgreedy,0.585746
80,07,04,s50d50,casshybrid,NA
80,07,04,s50d50,startle,0.344130
80,07,04,s50d50,laml,0.347475
80,07,05,s50d50,cassgreedy,0.627193
80,07,05,s50d50,casshybrid,NA
80,07,05,s50d50,startle,0.388664
80,07,05,s50d50,laml,0.379798
80,08,01,s50d50,cassgreedy,0.678261
80,08,01,s50d50,casshybrid,NA
80,08,01,s50d50,startle,0.453441
80,08,01,s50d50,laml,0.428283
80,08,02,s50d50,cassgreedy,0.621381
80,08,02,s50d50,casshybrid,NA
80,08,02,s50d50,startle,0.465587
80,08,02,s50d50,laml,0.428283
80,08,03,s50d50,cassgreedy,0.645788
80,08,03,s50d50,casshybrid,NA
80,08,03,s50d50,startle,0.368421
80,08,03,s50d50,laml,0.363636
80,08,04,s50d50,cassgreedy,0.522976
80,08,04,s50d50,casshybrid,NA
80,08,04,s50d50,startle,0.449393
80,08,04,s50d50,laml,0.416162
80,08,05,s50d50,cassgreedy,0.635165
80,08,05,s50d50,casshybrid,NA
80,08,05,s50d50,startle,0.473684
80,08,05,s50d50,laml,0.448485
80,09,01,s50d50,cassgreedy,0.709251
80,09,01,s50d50,casshybrid,NA
80,09,01,s50d50,startle,0.546559
80,09,01,s50d50,laml,0.545455
80,09,02,s50d50,cassgreedy,0.753915
80,09,02,s50d50,casshybrid,NA
80,09,02,s50d50,startle,0.469636
80,09,02,s50d50,laml,0.468687
80,09,03,s50d50,cassgreedy,0.758929
80,09,03,s50d50,casshybrid,NA
80,09,03,s50d50,startle,0.562753
80,09,03,s50d50,laml,0.525253
80,09,04,s50d50,cassgreedy,0.777778
80,09,04,s50d50,casshybrid,NA
80,09,04,s50d50,startle,0.578947
80,09,04,s50d50,laml,0.581818
80,09,05,s50d50,cassgreedy,0.757303
80,09,05,s50d50,casshybrid,NA
80,09,05,s50d50,startle,0.570850
80,09,05,s50d50,laml,0.533333
80,10,01,s50d50,cassgreedy,0.700224
80,10,01,s50d50,casshybrid,NA
80,10,01,s50d50,startle,0.510121
80,10,01,s50d50,laml,0.505051
80,10,02,s50d50,cassgreedy,0.649438
80,10,02,s50d50,casshybrid,NA
80,10,02,s50d50,startle,0.514170
80,10,02,s50d50,laml,0.513131
80,10,03,s50d50,cassgreedy,0.643653
80,10,03,s50d50,casshybrid,NA
80,10,03,s50d50,startle,0.465587
80,10,03,s50d50,laml,0.416162
80,10,04,s50d50,cassgreedy,0.657016
80,10,04,s50d50,casshybrid,NA
80,10,04,s50d50,startle,0.453441
80,10,04,s50d50,laml,0.452525
80,10,05,s50d50,cassgreedy,0.730088
80,10,05,s50d50,casshybrid,NA
80,10,05,s50d50,startle,0.473684
80,10,05,s50d50,laml,0.472727
100,01,01,s50d50,cassgreedy,0.591304
100,01,01,s50d50,casshybrid,NA
100,01,01,s50d50,startle,0.453441
100,01,01,s50d50,laml,0.359596
100,01,02,s50d50,cassgreedy,0.674009
100,01,02,s50d50,casshybrid,NA
100,01,02,s50d50,startle,0.441296
100,01,02,s50d50,laml,0.347475
100,01,03,s50d50,cassgreedy,0.646799
100,01,03,s50d50,casshybrid,NA
100,01,03,s50d50,startle,0.497976
100,01,03,s50d50,laml,0.496970
100,01,04,s50d50,cassgreedy,0.671840
100,01,04,s50d50,casshybrid,NA
100,01,04,s50d50,startle,0.534413
100,01,04,s50d50,laml,0.529293
100,01,05,s50d50,cassgreedy,0.662162
100,01,05,s50d50,casshybrid,NA
100,01,05,s50d50,startle,0.457490
100,01,05,s50d50,laml,0.452525
100,02,01,s50d50,cassgreedy,0.585903
100,02,01,s50d50,casshybrid,NA
100,02,01,s50d50,startle,0.425101
100,02,01,s50d50,laml,0.432323
100,02,02,s50d50,cassgreedy,0.617582
100,02,02,s50d50,casshybrid,NA
100,02,02,s50d50,startle,0.506073
100,02,02,s50d50,laml,0.408081
100,02,03,s50d50,cassgreedy,0.623060
100,02,03,s50d50,casshybrid,NA
100,02,03,s50d50,startle,0.441296
100,02,03,s50d50,laml,0.440404
100,02,04,s50d50,cassgreedy,0.622560
100,02,04,s50d50,casshybrid,NA
100,02,04,s50d50,startle,0.404858
100,02,04,s50d50,laml,0.367677
100,02,05,s50d50,cassgreedy,0.607143
100,02,05,s50d50,casshybrid,NA
100,02,05,s50d50,startle,0.429150
100,02,05,s50d50,laml,0.416162
100,03,01,s50d50,cassgreedy,0.592998
100,03,01,s50d50,casshybrid,NA
100,03,01,s50d50,startle,0.400810
100,03,01,s50d50,laml,0.379798
100,03,02,s50d50,cassgreedy,0.449024
100,03,02,s50d50,casshybrid,NA
100,03,02,s50d50,startle,0.311741
100,03,02,s50d50,laml,0.258586
100,03,03,s50d50,cassgreedy,0.554084
100,03,03,s50d50,casshybrid,NA
100,03,03,s50d50,startle,0.376518
100,03,03,s50d50,laml,0.307071
100,03,04,s50d50,cassgreedy,0.513043
100,03,04,s50d50,casshybrid,NA
100,03,04,s50d50,startle,0.376518
100,03,04,s50d50,laml,0.323232
100,03,05,s50d50,cassgreedy,0.607064
100,03,05,s50d50,casshybrid,NA
100,03,05,s50d50,startle,0.344130
100,03,05,s50d50,laml,0.339394
100,04,01,s50d50,cassgreedy,0.750567
100,04,01,s50d50,casshybrid,NA
100,04,01,s50d50,startle,0.668016
100,04,01,s50d50,laml,0.666667
100,04,02,s50d50,cassgreedy,0.717489
100,04,02,s50d50,casshybrid,NA
100,04,02,s50d50,startle,0.582996
100,04,02,s50d50,laml,0.577778
100,04,03,s50d50,cassgreedy,0.714286
100,04,03,s50d50,casshybrid,NA
100,04,03,s50d50,startle,0.591093
100,04,03,s50d50,laml,0.569697
100,04,04,s50d50,cassgreedy,0.650224
100,04,04,s50d50,casshybrid,NA
100,04,04,s50d50,startle,0.587045
100,04,04,s50d50,laml,0.577778
100,04,05,s50d50,cassgreedy,0.747126
100,04,05,s50d50,casshybrid,NA
100,04,05,s50d50,startle,0.659919
100,04,05,s50d50,laml,0.654545
100,05,01,s50d50,cassgreedy,0.603524
100,05,01,s50d50,casshybrid,NA
100,05,01,s50d50,startle,0.481781
100,05,01,s50d50,laml,0.480808
100,05,02,s50d50,cassgreedy,0.594714
100,05,02,s50d50,casshybrid,NA
100,05,02,s50d50,startle,0.481781
100,05,02,s50d50,laml,0.476768
100,05,03,s50d50,cassgreedy,0.610390
100,05,03,s50d50,casshybrid,NA
100,05,03,s50d50,startle,0.449393
100,05,03,s50d50,laml,0.440404
100,05,04,s50d50,cassgreedy,0.657895
100,05,04,s50d50,casshybrid,NA
100,05,04,s50d50,startle,0.437247
100,05,04,s50d50,laml,0.351515
100,05,05,s50d50,cassgreedy,0.631236
100,05,05,s50d50,casshybrid,NA
100,05,05,s50d50,startle,0.469636
100,05,05,s50d50,laml,0.432323
100,06,01,s50d50,cassgreedy,0.666667
100,06,01,s50d50,casshybrid,NA
100,06,01,s50d50,startle,0.441296
100,06,01,s50d50,laml,0.428283
100,06,02,s50d50,cassgreedy,0.627803
100,06,02,s50d50,casshybrid,NA
100,06,02,s50d50,startle,0.404858
100,06,02,s50d50,laml,0.404040
100,06,03,s50d50,cassgreedy,0.594771
100,06,03,s50d50,casshybrid,NA
100,06,03,s50d50,startle,0.417004
100,06,03,s50d50,laml,0.246465
100,06,04,s50d50,cassgreedy,0.480349
100,06,04,s50d50,casshybrid,NA
100,06,04,s50d50,startle,0.417004
100,06,04,s50d50,laml,0.351515
100,06,05,s50d50,cassgreedy,0.553611
100,06,05,s50d50,casshybrid,NA
100,06,05,s50d50,startle,0.412955
100,06,05,s50d50,laml,0.412121
100,07,01,s50d50,cassgreedy,0.645740
100,07,01,s50d50,casshybrid,NA
100,07,01,s50d50,startle,0.493927
100,07,01,s50d50,laml,0.460606
100,07,02,s50d50,cassgreedy,0.626374
100,07,02,s50d50,casshybrid,NA
100,07,02,s50d50,startle,0.380567
100,07,02,s50d50,laml,0.379798
100,07,03,s50d50,cassgreedy,0.640449
100,07,03,s50d50,casshybrid,NA
100,07,03,s50d50,startle,0.380567
100,07,03,s50d50,laml,0.379798
100,07,04,s50d50,cassgreedy,0.548098
100,07,04,s50d50,casshybrid,NA
100,07,04,s50d50,startle,0.380567
100,07,04,s50d50,laml,0.379798
100,07,05,s50d50,cassgreedy,0.530201
100,07,05,s50d50,casshybrid,NA
100,07,05,s50d50,startle,0.417004
100,07,05,s50d50,laml,0.412121
100,08,01,s50d50,cassgreedy,0.618625
100,08,01,s50d50,casshybrid,NA
100,08,01,s50d50,startle,0.489879
100,08,01,s50d50,laml,0.480808
100,08,02,s50d50,cassgreedy,0.654102
100,08,02,s50d50,casshybrid,NA
100,08,02,s50d50,startle,0.514170
100,08,02,s50d50,laml,0.496970
100,08,03,s50d50,cassgreedy,0.700680
100,08,03,s50d50,casshybrid,NA
100,08,03,s50d50,startle,0.530364
100,08,03,s50d50,laml,0.448485
100,08,04,s50d50,cassgreedy,0.676275
100,08,04,s50d50,casshybrid,NA
100,08,04,s50d50,startle,0.542510
100,08,04,s50d50,laml,0.529293
100,08,05,s50d50,cassgreedy,0.621622
100,08,05,s50d50,casshybrid,NA
100,08,05,s50d50,startle,0.558704
100,08,05,s50d50,laml,0.549495
100,09,01,s50d50,cassgreedy,0.710345
100,09,01,s50d50,casshybrid,NA
100,09,01,s50d50,startle,0.639676
100,09,01,s50d50,laml,0.638384
100,09,02,s50d50,cassgreedy,0.685912
100,09,02,s50d50,casshybrid,NA
100,09,02,s50d50,startle,0.611336
100,09,02,s50d50,laml,0.606061
100,09,03,s50d50,cassgreedy,0.731481
100,09,03,s50d50,casshybrid,NA
100,09,03,s50d50,startle,0.627530
100,09,03,s50d50,laml,0.622222
100,09,04,s50d50,cassgreedy,0.767338
100,09,04,s50d50,casshybrid,NA
100,09,04,s50d50,startle,0.635628
100,09,04,s50d50,laml,0.630303
100,09,05,s50d50,cassgreedy,0.730594
100,09,05,s50d50,casshybrid,NA
100,09,05,s50d50,startle,0.688259
100,09,05,s50d50,laml,0.666667
100,10,01,s50d50,cassgreedy,0.640449
100,10,01,s50d50,casshybrid,NA
100,10,01,s50d50,startle,0.477733
100,10,01,s50d50,laml,0.436364
100,10,02,s50d50,cassgreedy,0.655629
100,10,02,s50d50,casshybrid,NA
100,10,02,s50d50,startle,0.453441
100,10,02,s50d50,laml,0.432323
100,10,03,s50d50,cassgreedy,0.623318
100,10,03,s50d50,casshybrid,NA
100,10,03,s50d50,startle,0.396761
100,10,03,s50d50,laml,0.359596
100,10,04,s50d50,cassgreedy,0.607143
100,10,04,s50d50,casshybrid,NA
100,10,04,s50d50,startle,0.425101
100,10,04,s50d50,laml,0.424242
100,10,05,s50d50,cassgreedy,0.649667
100,10,05,s50d50,casshybrid,NA
100,10,05,s50d50,startle,0.522267
100,10,05,s50d50,laml,0.521212
