Sample,Runtime,Method
s100d0p08_sub250_r01,1m2.818s,nj
s100d0p08_sub250_r02,1m2.818s,nj
s100d0p08_sub250_r03,1m2.818s,nj
s100d0p08_sub250_r04,1m2.819s,nj
s100d0p01_sub250_r04,0m13.124s,nj
s100d0p08_sub250_r05,1m2.818s,nj
s100d0p09_sub250_r01,1m2.818s,nj
s100d0p09_sub250_r02,1m2.798s,nj
s100d0p09_sub250_r03,1m2.818s,nj
s100d0p09_sub250_r04,1m2.818s,nj
s100d0p09_sub250_r05,1m2.818s,nj
s100d0p10_sub250_r01,1m2.818s,nj
s100d0p10_sub250_r02,1m2.814s,nj
s100d0p10_sub250_r03,1m2.818s,nj
s100d0p10_sub250_r04,1m2.818s,nj
s100d0p01_sub250_r05,0m13.125s,nj
s100d0p10_sub250_r05,1m2.818s,nj
s0d100p01_sub250_r01,1m2.818s,nj
s0d100p01_sub250_r02,1m2.818s,nj
s0d100p01_sub250_r03,1m2.818s,nj
s0d100p01_sub250_r04,0m59.629s,nj
s0d100p01_sub250_r05,0m59.630s,nj
s0d100p02_sub250_r01,0m59.631s,nj
s0d100p02_sub250_r02,0m59.631s,nj
s0d100p02_sub250_r03,0m59.678s,nj
s0d100p02_sub250_r04,0m59.631s,nj
s100d0p02_sub250_r01,0m13.137s,nj
s0d100p02_sub250_r05,0m59.631s,nj
s0d100p03_sub250_r01,0m59.587s,nj
s0d100p03_sub250_r02,0m59.630s,nj
s0d100p03_sub250_r03,0m59.631s,nj
s0d100p03_sub250_r04,0m59.631s,nj
s0d100p03_sub250_r05,0m59.631s,nj
s0d100p04_sub250_r01,0m59.632s,nj
s0d100p04_sub250_r02,0m59.634s,nj
s0d100p04_sub250_r03,0m59.624s,nj
s0d100p04_sub250_r04,0m59.627s,nj
s100d0p02_sub250_r02,0m13.138s,nj
s0d100p04_sub250_r05,0m59.625s,nj
s0d100p05_sub250_r01,0m59.623s,nj
s0d100p05_sub250_r02,0m59.634s,nj
s0d100p05_sub250_r03,0m59.629s,nj
s0d100p05_sub250_r04,0m59.623s,nj
s0d100p05_sub250_r05,0m59.626s,nj
s0d100p06_sub250_r01,0m59.630s,nj
s0d100p06_sub250_r02,0m59.634s,nj
s0d100p06_sub250_r03,1m9.019s,nj
s0d100p06_sub250_r04,1m9.007s,nj
s100d0p02_sub250_r03,0m13.136s,nj
s0d100p06_sub250_r05,1m9.011s,nj
s0d100p07_sub250_r01,1m9.013s,nj
s0d100p07_sub250_r02,1m9.011s,nj
s0d100p07_sub250_r03,1m9.011s,nj
s0d100p07_sub250_r04,1m9.010s,nj
s0d100p07_sub250_r05,1m9.011s,nj
s0d100p08_sub250_r01,1m9.011s,nj
s0d100p08_sub250_r02,1m9.011s,nj
s0d100p08_sub250_r03,1m9.007s,nj
s0d100p08_sub250_r04,1m8.992s,nj
s100d0p02_sub250_r04,0m13.129s,nj
s0d100p08_sub250_r05,1m9.021s,nj
s0d100p09_sub250_r01,1m9.024s,nj
s0d100p09_sub250_r02,1m9.021s,nj
s0d100p09_sub250_r03,1m9.024s,nj
s0d100p09_sub250_r04,1m9.024s,nj
s0d100p09_sub250_r05,1m9.021s,nj
s0d100p10_sub250_r01,1m9.021s,nj
s0d100p10_sub250_r02,1m9.024s,nj
s0d100p10_sub250_r03,1m9.024s,nj
s0d100p10_sub250_r04,1m9.024s,nj
