flag,rep,size,totaltime,totalnumiter
closed-form,s0d100p04_sub1250_r05,1250,164.49387101083994,126
closed-form,s0d100p04_sub2500_r01,2500,226.82262557558715,129
closed-form,s0d100p04_sub2500_r02,2500,214.8358068820089,122
closed-form,s0d100p04_sub2500_r03,2500,217.54606945998967,127
closed-form,s0d100p04_sub2500_r04,2500,213.16125288046896,117
closed-form,s0d100p01_sub2500_r02,2500,,122
closed-form,s0d100p04_sub2500_r05,2500,224.3997313529253,121
closed-form,s0d100p04_sub5000_r01,5000,11627.678511034697,114
closed-form,s0d100p04_sub5000_r02,5000,12404.224544314668,122
closed-form,s0d100p04_sub5000_r03,5000,12694.664806166664,121
closed-form,s0d100p04_sub5000_r04,5000,10301.701401891187,120
closed-form,s0d100p04_sub5000_r05,5000,13878.559536887333,110
closed-form,s0d100p04_sub7500_r01,7500,,
closed-form,s0d100p04_sub7500_r02,7500,,
closed-form,s0d100p04_sub7500_r03,7500,,
closed-form,s0d100p04_sub7500_r04,7500,,
closed-form,s0d100p01_sub2500_r03,2500,,119
closed-form,,,,
closed-form,s0d100p05_sub1250_r01,1250,184.69891786389053,108
closed-form,s0d100p05_sub1250_r02,1250,199.27368616778404,159
closed-form,s0d100p05_sub1250_r03,1250,156.74133689515293,120
closed-form,s0d100p05_sub1250_r04,1250,189.70739412866533,153
closed-form,s0d100p05_sub1250_r05,1250,160.1432111877948,119
closed-form,s0d100p05_sub2500_r01,2500,358.34861910901964,139
closed-form,s0d100p05_sub2500_r02,2500,355.4561587013304,130
closed-form,s0d100p05_sub2500_r03,2500,320.52257107011974,122
closed-form,s0d100p05_sub2500_r04,2500,317.0057491976768,128
closed-form,s0d100p01_sub2500_r04,2500,,139
closed-form,s0d100p05_sub2500_r05,2500,395.897522309795,142
closed-form,s0d100p05_sub5000_r01,5000,16680.965101951733,135
closed-form,s0d100p05_sub5000_r02,5000,14833.50335777551,136
closed-form,s0d100p05_sub5000_r03,5000,12807.459773039445,131
closed-form,s0d100p05_sub5000_r04,5000,15932.41773099266,131
closed-form,s0d100p05_sub5000_r05,5000,17088.575637902133,130
closed-form,,,,
closed-form,,,,
closed-form,,,,
closed-form,s0d100p05_sub7500_r04,7500,,
closed-form,s0d100p01_sub1250_r01,1250,,145
closed-form,s0d100p01_sub2500_r05,2500,,121
closed-form,s0d100p05_sub7500_r05,7500,,
closed-form,s0d100p06_sub1250_r01,1250,126.98334526643157,140
closed-form,s0d100p06_sub1250_r02,1250,98.9759214092046,109
closed-form,s0d100p06_sub1250_r03,1250,106.32108432613313,118
closed-form,s0d100p06_sub1250_r04,1250,133.91985366865993,146
closed-form,s0d100p06_sub1250_r05,1250,104.63666859082878,124
closed-form,s0d100p06_sub2500_r01,2500,209.414138590917,117
closed-form,s0d100p06_sub2500_r02,2500,285.18442378751934,161
closed-form,s0d100p06_sub2500_r03,2500,236.3698197454214,133
