flag,rep,size,estep,mstep,llh
closed-form,s0d100p10_sub850_r02,850,0.633211,0.025795,22017.34993030577
closed-form,s0d100p10_sub850_r03,850,0.632957,0.0259521,21961.07822434936
closed-form,s0d100p10_sub850_r04,850,0.632435,0.0259376,22058.7250731044
closed-form,s0d100p01_sub850_r05,850,0.84985,0.0260413,21371.128749873602
closed-form,s0d100p10_sub850_r05,850,0.638624,0.0258956,22050.965586491846
closed-form,s0d100p02_sub1024_r01,1024,1.09337,0.0305127,26703.889514023784
closed-form,s0d100p02_sub250_r01,250,0.249294,0.00752509,8465.547936023802
closed-form,s0d100p02_sub250_r02,250,0.247441,0.00759226,8549.911215867258
closed-form,s0d100p02_sub250_r03,250,0.273941,0.00764929,8583.191805228505
closed-form,s0d100p02_sub250_r04,250,0.246381,0.00759457,8620.21729672533
closed-form,s0d100p02_sub250_r05,250,0.248622,0.00757403,8513.76352250496
closed-form,s0d100p02_sub450_r01,450,0.446322,0.013829,13705.932375642435
closed-form,s0d100p02_sub450_r02,450,0.445661,0.0137747,13789.267241253521
closed-form,s0d100p01_sub250_r02,250,0.25243,0.00812714,7677.996283574429
closed-form,s0d100p02_sub450_r03,450,0.450744,0.0140071,13799.261318372446
closed-form,s0d100p02_sub450_r04,450,0.449882,0.0140528,13784.369337506072
closed-form,s0d100p02_sub450_r05,450,0.458036,0.0139583,13823.541160621571
closed-form,s0d100p02_sub650_r01,650,0.644843,0.0203483,18438.765068909288
closed-form,s0d100p02_sub650_r02,650,0.646321,0.0203693,18710.18263481689
closed-form,s0d100p02_sub650_r03,650,0.643963,0.0204171,18447.69345668977
closed-form,s0d100p02_sub650_r04,650,0.695886,0.0193022,18537.589285439564
closed-form,s0d100p02_sub650_r05,650,0.641995,0.0199524,18574.128864280214
closed-form,s0d100p02_sub850_r01,850,0.818548,0.0259679,23004.638454260272
closed-form,s0d100p02_sub850_r02,850,0.733948,0.0298095,23030.331462594942
closed-form,s0d100p01_sub250_r03,250,0.273422,0.00810525,7688.268795204018
closed-form,s0d100p02_sub850_r03,850,0.705946,0.0298974,23053.18862104974
closed-form,s0d100p02_sub850_r04,850,0.713828,0.0292785,23077.33430246292
closed-form,s0d100p02_sub850_r05,850,0.72638,0.0293801,23041.671666900733
closed-form,s0d100p03_sub1024_r01,1024,0.860786,0.035534,25198.04616384579
closed-form,s0d100p03_sub250_r01,250,0.217645,0.00840924,7837.907970320119
closed-form,s0d100p03_sub250_r02,250,0.222012,0.00841851,7849.5039018583075
closed-form,s0d100p03_sub250_r03,250,0.217627,0.00851689,7978.513179198277
closed-form,s0d100p03_sub250_r04,250,0.216972,0.00848174,7842.701257025314
closed-form,s0d100p03_sub250_r05,250,0.216257,0.00850623,7769.045208559316
closed-form,s0d100p03_sub450_r01,450,0.421946,0.01509,12818.988051749342
closed-form,s0d100p01_sub250_r04,250,0.251094,0.00806987,7544.529238265429
closed-form,s0d100p03_sub450_r02,450,0.390776,0.015094,12653.34629988923
closed-form,s0d100p03_sub450_r03,450,0.390262,0.0149514,12836.217429582273
closed-form,s0d100p03_sub450_r04,450,0.385492,0.0148262,12724.680005861941
closed-form,s0d100p03_sub450_r05,450,0.387816,0.0149482,12756.199663848527
closed-form,s0d100p03_sub650_r01,650,0.562765,0.0216002,17361.51088393766
closed-form,s0d100p03_sub650_r02,650,0.556963,0.0217525,17207.564834820038
closed-form,s0d100p03_sub650_r03,650,0.566841,0.0218602,17298.142272296504
closed-form,s0d100p03_sub650_r04,650,0.563633,0.0217225,17320.29527278206
closed-form,s0d100p03_sub650_r05,650,0.564508,0.0219667,17259.741754876068
closed-form,s0d100p03_sub850_r01,850,0.769,0.0284255,21648.245450043116
closed-form,s0d100p01_sub250_r05,250,0.274934,0.00820361,7701.3181485914165
closed-form,s0d100p03_sub850_r02,850,0.74058,0.0285373,21605.074880277858
closed-form,s0d100p03_sub850_r03,850,0.731295,0.0288083,21589.898448459764
closed-form,s0d100p03_sub850_r04,850,0.763769,0.0284621,21639.960454691027
closed-form,s0d100p03_sub850_r05,850,0.76917,0.02834,21626.815685692705
closed-form,s0d100p04_sub1024_r01,1024,0.862039,0.0340512,25527.45096056753
closed-form,s0d100p04_sub250_r01,250,0.215303,0.0083052,7911.72387967639
closed-form,s0d100p04_sub250_r02,250,0.208562,0.00820774,7803.89047632415
closed-form,s0d100p04_sub250_r03,250,0.211972,0.00823936,7963.240818650977
closed-form,s0d100p04_sub250_r04,250,0.21314,0.0082624,7981.648944054428
closed-form,s0d100p04_sub250_r05,250,0.209394,0.00832519,8038.496869241054
closed-form,s0d100p01_sub450_r01,450,0.459846,0.0149417,12397.668742147895
closed-form,s0d100p04_sub450_r01,450,0.383269,0.0149974,12987.312360313326
closed-form,s0d100p04_sub450_r02,450,0.379587,0.0148488,12926.279858863649
closed-form,s0d100p04_sub450_r03,450,0.385036,0.014962,12916.677279008423
closed-form,s0d100p04_sub450_r04,450,0.384931,0.0148753,12857.612737095938
closed-form,s0d100p04_sub450_r05,450,0.382397,0.0149843,13023.148308811924
closed-form,s0d100p04_sub650_r01,650,0.551567,0.0215694,17504.164089656737
closed-form,s0d100p04_sub650_r02,650,0.558187,0.0216774,17377.187678453905
closed-form,s0d100p04_sub650_r03,650,0.579815,0.0220409,17587.130312997844
closed-form,s0d100p04_sub650_r04,650,0.580848,0.0217588,17585.621855006288
closed-form,s0d100p04_sub650_r05,650,0.541722,0.0221252,17637.60034571836
closed-form,s0d100p01_sub450_r02,450,0.464692,0.0150585,12434.628803080845
closed-form,s0d100p04_sub850_r01,850,0.711643,0.0280772,21947.10244063285
closed-form,s0d100p04_sub850_r02,850,0.689509,0.0280831,21943.364067761435
closed-form,s0d100p04_sub850_r03,850,0.712715,0.0273436,21854.88460206689
closed-form,s0d100p04_sub850_r04,850,0.703596,0.0268795,21881.362254992644
closed-form,s0d100p04_sub850_r05,850,0.706672,0.0266503,21871.56206598262
closed-form,s0d100p05_sub1024_r01,1024,0.788287,0.0305362,24600.87276762716
closed-form,s0d100p05_sub250_r01,250,0.204386,0.00771024,7503.400178475763
closed-form,s0d100p05_sub250_r02,250,0.20834,0.00792042,7338.519238438376
closed-form,s0d100p05_sub250_r03,250,0.207122,0.00772306,7316.766889816705
closed-form,s0d100p05_sub250_r04,250,0.220985,0.00779342,7350.704656471208
closed-form,s0d100p01_sub450_r03,450,0.464673,0.014122,12534.272802677848
closed-form,s0d100p05_sub250_r05,250,0.210974,0.00790329,7277.688275019249
closed-form,s0d100p05_sub450_r01,450,0.395666,0.0139485,12125.914629654639
closed-form,s0d100p05_sub450_r02,450,0.37822,0.0142011,12153.614017829374
closed-form,s0d100p05_sub450_r03,450,0.377136,0.0141828,12247.44770173754
closed-form,s0d100p05_sub450_r04,450,0.412041,0.014882,12206.76109667452
closed-form,s0d100p05_sub450_r05,450,0.37833,0.0148975,12144.939128923357
closed-form,s0d100p05_sub650_r01,650,0.547548,0.0218626,16740.237115080283
closed-form,s0d100p05_sub650_r02,650,0.553642,0.021781,16670.003127861582
closed-form,s0d100p05_sub650_r03,650,0.554602,0.0219155,16735.732253824146
closed-form,s0d100p05_sub650_r04,650,0.551149,0.0220393,16729.07755185029
non-convex,s0d100p01_sub1024_r01,1024,0.839826,2.93482,25307.88851932567
non-convex,s0d100p01_sub450_r04,450,0.39132,1.70109,12694.635344329045
non-convex,s0d100p05_sub650_r05,650,0.450558,1.72008,17138.461870389387
non-convex,s0d100p05_sub850_r01,850,0.606138,2.55277,21356.335878236227
non-convex,s0d100p05_sub850_r02,850,0.612904,1.96693,21515.83219179803
non-convex,s0d100p05_sub850_r03,850,0.61299,2.32006,21483.12276291309
non-convex,s0d100p05_sub850_r04,850,0.609054,2.58441,21461.352433697266
