type model prior treeSize rep nMissing nSilenceTrue nSilenceEst nDropoutTrue nDropoutEst nCorrect accuracy
trueTopo s25d75 02 sub250 r03 1899 402 272 1497 1627 1755 0.9241706161137441
estTopo s25d75 02 sub250 r04 1862 412 282 1450 1580 1702 0.9140708915145005
trueTopo s25d75 02 sub250 r04 1862 412 290 1450 1572 1704 0.9151450053705693
estTopo s25d75 02 sub250 r05 1798 404 289 1394 1509 1653 0.9193548387096774
trueTopo s25d75 02 sub250 r05 1798 404 294 1394 1504 1660 0.9232480533926585
estTopo s25d75 03 sub250 r01 1776 436 298 1340 1478 1604 0.9031531531531531
trueTopo s25d75 03 sub250 r01 1776 436 301 1340 1475 1609 0.9059684684684685
estTopo s25d75 03 sub250 r02 1853 433 403 1420 1450 1641 0.8855909336211549
trueTopo s25d75 03 sub250 r02 1853 433 369 1420 1484 1667 0.8996222342147868
estTopo s25d75 03 sub250 r03 1811 411 296 1400 1515 1638 0.9044726670347875
trueTopo s25d75 03 sub250 r03 1811 411 289 1400 1522 1645 0.9083379348426284
estTopo s25d75 03 sub250 r04 1874 426 312 1448 1562 1680 0.8964781216648879
trueTopo s25d75 03 sub250 r04 1874 426 306 1448 1568 1690 0.9018143009605123
estTopo s25d75 03 sub250 r05 1814 436 298 1378 1516 1624 0.8952590959206174
trueTopo s25d75 03 sub250 r05 1814 436 303 1378 1511 1647 0.9079382579933848
estTopo s25d75 04 sub250 r01 1828 399 304 1429 1524 1649 0.9020787746170679
trueTopo s25d75 04 sub250 r01 1828 399 305 1429 1523 1672 0.9146608315098468
estTopo s25d75 04 sub250 r02 1780 389 263 1391 1517 1604 0.9011235955056179
trueTopo s25d75 04 sub250 r02 1780 389 273 1391 1507 1622 0.9112359550561798
estTopo s25d75 04 sub250 r03 1783 377 288 1406 1495 1594 0.8939988782950085
trueTopo s25d75 04 sub250 r03 1783 377 295 1406 1488 1609 0.9024116657319126
estTopo s25d75 04 sub250 r04 1801 419 290 1382 1511 1636 0.9083842309827873
trueTopo s25d75 04 sub250 r04 1801 419 290 1382 1511 1644 0.9128262076624097
estTopo s25d75 04 sub250 r05 1782 372 284 1410 1498 1628 0.9135802469135802
trueTopo s25d75 04 sub250 r05 1782 372 283 1410 1499 1639 0.9197530864197531
estTopo s25d75 05 sub250 r01 1852 514 427 1338 1425 1639 0.8849892008639308
trueTopo s25d75 05 sub250 r01 1852 514 407 1338 1445 1677 0.9055075593952484
estTopo s25d75 05 sub250 r02 1886 501 404 1385 1482 1711 0.9072110286320254
trueTopo s25d75 05 sub250 r02 1886 501 399 1385 1487 1740 0.9225874867444327
estTopo s25d75 05 sub250 r03 1894 503 371 1391 1523 1726 0.91129883843717
trueTopo s25d75 05 sub250 r03 1894 503 378 1391 1516 1735 0.9160506863780359
estTopo s25d75 05 sub250 r04 1887 504 431 1383 1456 1704 0.9030206677265501
trueTopo s25d75 05 sub250 r04 1887 504 421 1383 1466 1738 0.9210386857445682
estTopo s25d75 05 sub250 r05 1896 507 421 1389 1475 1724 0.9092827004219409
trueTopo s25d75 05 sub250 r05 1896 507 427 1389 1469 1734 0.9145569620253164
estTopo s25d75 06 sub250 r01 1830 502 418 1328 1412 1698 0.9278688524590164
trueTopo s25d75 06 sub250 r01 1830 502 420 1328 1410 1704 0.9311475409836065
estTopo s25d75 06 sub250 r02 1922 486 411 1436 1511 1757 0.9141519250780437
trueTopo s25d75 06 sub250 r02 1922 486 402 1436 1520 1760 0.9157127991675338
estTopo s25d75 06 sub250 r03 1950 515 434 1435 1516 1771 0.9082051282051282
trueTopo s25d75 06 sub250 r03 1950 515 446 1435 1504 1793 0.9194871794871795
estTopo s25d75 06 sub250 r04 1934 501 430 1433 1504 1759 0.9095139607032058
trueTopo s25d75 06 sub250 r04 1934 501 418 1433 1516 1785 0.9229576008273009
estTopo s25d75 06 sub250 r05 1881 473 369 1408 1512 1721 0.9149388623072834
trueTopo s25d75 06 sub250 r05 1881 473 376 1408 1505 1732 0.9207868155236576
estTopo s25d75 07 sub250 r01 1700 234 136 1466 1564 1542 0.9070588235294118
trueTopo s25d75 07 sub250 r01 1700 234 150 1466 1550 1548 0.9105882352941177
estTopo s25d75 07 sub250 r02 1779 266 135 1513 1644 1618 0.9094997189432266
trueTopo s25d75 07 sub250 r02 1779 266 141 1513 1638 1624 0.9128724002248454
estTopo s25d75 07 sub250 r03 1703 264 119 1439 1584 1542 0.9054609512624779
trueTopo s25d75 07 sub250 r03 1703 264 119 1439 1584 1550 0.91015854374633
estTopo s25d75 07 sub250 r04 1735 246 131 1489 1604 1590 0.9164265129682997
trueTopo s25d75 07 sub250 r04 1735 246 133 1489 1602 1602 0.923342939481268
estTopo s25d75 07 sub250 r05 1690 246 148 1444 1542 1520 0.8994082840236687
trueTopo s25d75 07 sub250 r05 1690 246 152 1444 1538 1524 0.901775147928994
estTopo s25d75 08 sub250 r01 1683 246 138 1437 1545 1517 0.9013666072489602
trueTopo s25d75 08 sub250 r01 1683 246 159 1437 1524 1528 0.9079025549613785
estTopo s25d75 08 sub250 r02 1675 262 184 1413 1491 1513 0.9032835820895523
trueTopo s25d75 08 sub250 r02 1675 262 193 1413 1482 1528 0.9122388059701493
estTopo s25d75 08 sub250 r03 1658 249 121 1409 1537 1500 0.9047044632086851
trueTopo s25d75 08 sub250 r03 1658 249 127 1409 1531 1516 0.9143546441495778
