sample nsites nodeID d2root dML dMP
3520_NT_T1 30 I357 1.3429 0.00500024 1
3520_NT_T1 30 I359 2.16769 0.824791 0
3520_NT_T1 30 I363 1.6405 0.297602 3
3520_NT_T1 30 I368 2.56175 0.921247 0
3520_NT_T1 30 I37 0.556238 0.336659 0
3520_NT_T1 30 I377 1.03842 0.156949 0
3520_NT_T1 30 I378 1.28889 0.250473 0
3520_NT_T1 30 I381 1.29389 0.00500019 0
3520_NT_T1 30 I387 1.63219 0.343301 0
3520_NT_T1 30 I39 1.317 0.760758 0
3520_NT_T1 30 I390 2.06792 0.435723 2
3520_NT_T1 30 I395 2.56175 0.493834 0
3520_NT_T1 30 I396 1.20234 0.163923 2
3520_NT_T1 30 I398 1.81352 0.611176 0
3520_NT_T1 30 I40 2.18842 0.871424 0
3520_NT_T1 30 I403 1.27959 0.0772472 1
3520_NT_T1 30 I404 1.28459 0.00500199 3
3520_NT_T1 30 I409 1.5151 0.235506 5
3520_NT_T1 30 I410 1.64393 0.128832 1
3520_NT_T1 30 I411 1.79231 0.148378 2
3520_NT_T1 30 I421 0.442087 0.0564067 3
3520_NT_T1 30 I422 0.587248 0.145162 6
3520_NT_T1 30 I424 2.38554 1.79829 0
3520_NT_T1 30 I427 0.62686 0.039612 1
3520_NT_T1 30 I428 1.08082 0.453957 7
3520_NT_T1 30 I436 1.02884 0.586756 0
3520_NT_T1 30 I437 1.03385 0.00500303 2
3520_NT_T1 30 I441 1.16509 0.131242 1
3520_NT_T1 30 I449 0.832005 0.827005 9
3520_NT_T1 30 I48 0.683254 0.127016 0
3520_NT_T1 30 I49 2.2891 1.60584 6
3520_NT_T1 30 I5 0.185143 0.0859416 0
3520_NT_T1 30 I57 1.15633 0.971186 0
3520_NT_T1 30 I6 0.219579 0.0344363 4
3520_NT_T1 30 I62 0.104202 0.00500014 0
3520_NT_T1 30 I68 0.262714 0.158513 2
3520_NT_T1 30 I69 0.315308 0.0525934 4
3520_NT_T1 30 I70 0.655692 0.340385 2
3520_NT_T1 30 I71 0.760807 0.105115 4
3520_NT_T1 30 I77 1.18419 0.528496 0
3520_NT_T1 30 I79 1.23364 0.0494494 0
3520_NT_T1 30 I8 0.308821 0.0892415 0
3520_NT_T1 30 I84 1.24193 0.0577452 1
3520_NT_T1 30 I86 1.90871 0.666774 0
3520_NT_T1 30 I89 1.64247 0.400533 2
3520_NT_T1 30 I98 1.10841 0.845697 0
3520_NT_T1 30 I99 1.26424 0.155826 4
3703_NT_T1 66 I1 0 0 0
3703_NT_T1 66 I10 1.61524 0.0651461 1
3703_NT_T1 66 I100 2.14291 0.180114 2
3703_NT_T1 66 I101 2.28953 0.146622 1
3703_NT_T1 66 I102 2.3773 0.0877662 1
3703_NT_T1 66 I106 2.42605 0.0487537 1
3703_NT_T1 66 I107 2.43106 0.00500637 1
3703_NT_T1 66 I108 2.65674 0.225682 1
3703_NT_T1 66 I11 1.62585 0.0106099 1
3703_NT_T1 66 I115 2.68248 0.251423 1
3703_NT_T1 66 I129 1.96608 0.376926 4
3703_NT_T1 66 I13 1.84996 0.224112 0
3703_NT_T1 66 I133 3.05 1.08392 0
3703_NT_T1 66 I136 2.10482 0.138744 1
3703_NT_T1 66 I138 2.27429 0.169467 0
3703_NT_T1 66 I139 2.40699 0.132702 1
3703_NT_T1 66 I14 2.27673 0.426765 0
3703_NT_T1 66 I140 2.41199 0.00500016 1
3703_NT_T1 66 I141 3.4131 1.00111 3
3703_NT_T1 66 I145 2.41329 0.00629743 2
3703_NT_T1 66 I15 2.34771 0.0709773 0
3703_NT_T1 66 I154 2.21293 0.108106 1
3703_NT_T1 66 I156 2.48061 0.267683 0
3703_NT_T1 66 I164 1.63068 0.768714 0
3703_NT_T1 66 I171 0.00500028 0.00500028 7
3703_NT_T1 66 I173 1.89957 1.89457 0
3703_NT_T1 66 I178 0.0100003 0.00500002 16
3703_NT_T1 66 I18 2.59603 0.746067 0
3703_NT_T1 66 I2 0.428802 0.428802 35
3703_NT_T1 66 I20 2.83865 0.242623 1
3703_NT_T1 66 I21 2.9873 0.148648 0
3703_NT_T1 66 I3 0.568468 0.139665 8
3703_NT_T1 66 I31 2.33466 0.719421 0
3703_NT_T1 66 I35 1.65941 0.109316 2
3703_NT_T1 66 I37 2.12619 0.466781 0
3703_NT_T1 66 I39 2.36945 0.243257 0
3703_NT_T1 66 I4 0.86197 0.293502 2
3703_NT_T1 66 I42 2.67982 0.553626 1
3703_NT_T1 66 I44 2.90045 0.22063 1
3703_NT_T1 66 I45 3.22004 0.319585 0
3703_NT_T1 66 I5 0.86697 0.00500037 1
3703_NT_T1 66 I50 1.8193 0.269207 0
3703_NT_T1 66 I51 2.1031 0.283792 0
3703_NT_T1 66 I55 2.25868 0.155587 1
3703_NT_T1 66 I56 2.65716 0.398475 1
3703_NT_T1 66 I59 2.07916 0.259858 1
3703_NT_T1 66 I6 1.3328 0.465832 9
3703_NT_T1 66 I60 2.37782 0.298657 1
3703_NT_T1 66 I61 3.00983 0.63201 0
3703_NT_T1 66 I66 2.08416 0.00500124 1
3703_NT_T1 66 I71 1.6062 0.273394 0
3703_NT_T1 66 I73 1.82855 0.222351 0
3703_NT_T1 66 I76 1.84867 0.242474 1
3703_NT_T1 66 I77 3.20112 1.35245 1
3703_NT_T1 66 I80 2.06873 0.220057 1
3703_NT_T1 66 I81 2.27871 0.209983 1
3703_NT_T1 66 I84 3.17203 0.893325 0
3703_NT_T1 66 I87 3.39945 0.22742 0
3703_NT_T1 66 I9 1.5501 0.217295 0
3703_NT_T1 66 I90 2.70408 0.425367 2
3703_NT_T1 66 I92 3.54151 0.837431 0
3703_NT_T1 66 I93 3.11365 1.04492 0
3703_NT_T1 66 I94 3.54151 0.427856 1
3703_NT_T1 66 I96 3.29076 0.177104 1
3703_NT_T1 66 I98 1.58915 0.72218 6
3703_NT_T1 66 I99 1.9628 0.373649 4
3703_NT_T2 67 I1 0 0 34
3703_NT_T2 67 I106 1.95572 0.80588 0
3703_NT_T2 67 I107 2.33523 0.379506 0
3703_NT_T2 67 I109 2.96845 0.633228 0
3703_NT_T2 67 I11 0.734067 0.305265 0
3703_NT_T2 67 I110 3.00948 0.041022 0
3703_NT_T2 67 I114 3.39783 1.44211 0
3703_NT_T2 67 I117 1.15484 0.00500004 1
3703_NT_T2 67 I118 2.62775 1.4729 0
3703_NT_T2 67 I12 0.75717 0.0231026 2
3703_NT_T2 67 I128 1.05066 0.158381 2
3703_NT_T2 67 I131 1.63022 0.579564 0
3703_NT_T2 67 I134 3.41502 1.7848 0
3703_NT_T2 67 I139 4.1387 0.723678 0
3703_NT_T2 67 I144 1.98938 0.938729 0
