model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M30p10_medium_sub500_r03,startle,1760248,0.06,NA
k30M30p10_medium_sub500_r04,startle,1773660,0.00,NA
k30M30p10_medium_sub500_r05,startle,1769336,0.00,NA
k30M100p01_medium_sub250_r01,startle,1520048,90.01,48485
k30M100p01_medium_sub250_r02,startle,1527852,89.81,82379
k30M100p01_medium_sub250_r03,startle,1530620,90.49,44834
k30M100p01_medium_sub250_r04,startle,1535984,90.21,72706
k30M100p01_medium_sub250_r05,startle,1532960,89.84,56041
k30M100p02_medium_sub250_r01,startle,1533348,90.04,56635
k30M100p02_medium_sub250_r02,startle,1536260,0.01,NA
k30M100p02_medium_sub250_r03,startle,1540936,89.75,52923
k30M100p02_medium_sub250_r04,startle,1532480,89.64,76918
k30M100p02_medium_sub250_r05,startle,1537292,90.02,47635
k30M100p03_medium_sub250_r01,startle,1532192,89.68,70874
k30M100p03_medium_sub250_r02,startle,1525496,89.31,74959
k30M100p03_medium_sub250_r03,startle,1541352,89.49,59307
k30M100p03_medium_sub250_r04,startle,1543780,89.57,75836
k30M100p03_medium_sub250_r05,startle,1535620,0.00,NA
k30M100p04_medium_sub250_r01,startle,1535932,0.01,NA
k30M100p04_medium_sub250_r02,startle,1543220,0.01,NA
k30M100p04_medium_sub250_r03,startle,1538440,89.47,75472
k30M100p04_medium_sub250_r04,startle,1526772,0.01,NA
k30M100p04_medium_sub250_r05,startle,1540596,0.00,NA
k30M100p05_medium_sub250_r01,startle,1529980,88.78,71803
k30M100p05_medium_sub250_r02,startle,1533108,0.02,NA
k30M100p05_medium_sub250_r03,startle,1532248,89.02,69726
k30M100p05_medium_sub250_r04,startle,1547244,89.11,81143
k30M100p05_medium_sub250_r05,startle,1535704,88.77,60723
k30M100p06_medium_sub250_r01,startle,1547384,89.84,79312
k30M100p06_medium_sub250_r02,startle,1533056,88.90,63126
k30M100p06_medium_sub250_r03,startle,1533824,89.47,56360
k30M100p06_medium_sub250_r04,startle,1537952,89.54,49419
k30M100p06_medium_sub250_r05,startle,1534440,89.34,59552
k30M100p07_medium_sub250_r01,startle,1546708,0.02,NA
k30M100p07_medium_sub250_r02,startle,1544844,0.01,NA
k30M100p07_medium_sub250_r03,startle,1537200,89.76,67400
k30M100p07_medium_sub250_r04,startle,1535320,89.59,75101
k30M100p07_medium_sub250_r05,startle,1541352,89.35,59258
k30M100p08_medium_sub250_r01,startle,1538636,0.00,NA
k30M100p08_medium_sub250_r02,startle,1527780,88.88,58970
k30M100p08_medium_sub250_r03,startle,1540120,0.01,NA
k30M100p08_medium_sub250_r04,startle,1531588,88.97,66549
k30M100p08_medium_sub250_r05,startle,1538168,89.42,73686
k30M100p09_medium_sub250_r01,startle,1541628,88.93,64453
k30M100p09_medium_sub250_r02,startle,1536560,0.01,NA
k30M100p09_medium_sub250_r03,startle,1542064,0.01,NA
k30M100p09_medium_sub250_r04,startle,1538180,89.23,70835
k30M100p09_medium_sub250_r05,startle,1529116,0.01,NA
k30M100p10_medium_sub250_r01,startle,1537440,89.35,49710
k30M100p10_medium_sub250_r02,startle,1538916,0.01,NA
k30M100p10_medium_sub250_r03,startle,1531484,89.34,51751
k30M100p10_medium_sub250_r04,startle,1542720,89.07,77812
k30M100p10_medium_sub250_r05,startle,1539856,89.70,63090
k30M100p01_medium_sub500_r01,startle,1751624,0.00,NA
k30M100p01_medium_sub500_r02,startle,1756072,0.00,NA
k30M100p01_medium_sub500_r03,startle,1742128,0.00,NA
k30M100p01_medium_sub500_r04,startle,1753304,0.00,NA
k30M100p01_medium_sub500_r05,startle,1760432,0.00,NA
k30M100p02_medium_sub500_r01,startle,1767056,0.09,NA
k30M100p02_medium_sub500_r02,startle,1765008,0.00,NA
k30M100p02_medium_sub500_r03,startle,1783488,0.12,NA
k30M100p02_medium_sub500_r04,startle,1717.50M,0.00,NA
k30M100p02_medium_sub500_r05,startle,1767712,0.00,NA
k30M100p03_medium_sub500_r01,startle,1747964,0.09,NA
k30M100p03_medium_sub500_r02,startle,1752348,0.09,NA
k30M100p03_medium_sub500_r03,startle,1752632,0.00,NA
k30M100p03_medium_sub500_r04,startle,1761724,0.00,NA
k30M100p03_medium_sub500_r05,startle,1759200,0.11,NA
k30M100p04_medium_sub500_r01,startle,1760036,0.00,NA
k30M100p04_medium_sub500_r02,startle,1747344,0.00,NA
k30M100p04_medium_sub500_r03,startle,1751624,0.00,NA
k30M100p04_medium_sub500_r04,startle,1759880,0.00,NA
k30M100p04_medium_sub500_r05,startle,1740780,0.00,NA
k30M100p05_medium_sub500_r01,startle,1759604,0.11,NA
k30M100p05_medium_sub500_r02,startle,1757064,0.00,NA
k30M100p05_medium_sub500_r03,startle,1757408,0.00,NA
k30M100p05_medium_sub500_r04,startle,1751560,0.00,NA
k30M100p05_medium_sub500_r05,startle,1753328,0.00,NA
k30M100p06_medium_sub500_r01,startle,1768768,0.00,NA
k30M100p06_medium_sub500_r02,startle,1752860,0.11,NA
k30M100p06_medium_sub500_r03,startle,1751352,0.00,NA
k30M100p06_medium_sub500_r04,startle,1763996,0.00,NA
k30M100p06_medium_sub500_r05,startle,1759760,0.00,NA
k30M100p07_medium_sub500_r01,startle,1745476,0.00,NA
k30M100p07_medium_sub500_r02,startle,1772132,0.00,NA
k30M100p07_medium_sub500_r03,startle,1748584,0.13,NA
k30M100p07_medium_sub500_r04,startle,1772648,0.00,NA
k30M100p07_medium_sub500_r05,startle,1755652,0.00,NA
k30M100p08_medium_sub500_r01,startle,1753316,0.09,NA
k30M100p08_medium_sub500_r02,startle,1758596,0.00,NA
k30M100p08_medium_sub500_r03,startle,1762572,0.00,NA
k30M100p08_medium_sub500_r04,startle,1759048,0.00,NA
k30M100p08_medium_sub500_r05,startle,1755556,0.00,NA
k30M100p09_medium_sub500_r01,startle,1737988,0.08,NA
k30M100p09_medium_sub500_r02,startle,1755068,0.09,NA
k30M100p09_medium_sub500_r03,startle,1753536,0.00,NA
k30M100p09_medium_sub500_r04,startle,1755900,0.08,NA
k30M100p09_medium_sub500_r05,startle,1760824,0.07,NA
k30M100p10_medium_sub500_r01,startle,1755236,0.00,NA
k30M100p10_medium_sub500_r02,startle,1744608,0.08,NA
k30M100p10_medium_sub500_r03,startle,1753604,0.06,NA
k30M100p10_medium_sub500_r04,startle,1756784,0.00,NA
k30M100p10_medium_sub500_r05,startle,1747460,0.00,NA
