model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M100p07_medium_sub5000_r03,greedy,314672,48.61,0
k30M100p07_medium_sub5000_r04,greedy,315416,48.61,0
k30M100p07_medium_sub5000_r05,greedy,316116,48.61,0
k30M100p08_medium_sub5000_r01,greedy,315264,50.00,0
k30M100p08_medium_sub5000_r02,greedy,314120,50.00,0
k30M100p08_medium_sub5000_r03,greedy,312892,50.00,0
k30M100p08_medium_sub5000_r04,greedy,313200,48.21,0
k30M100p08_medium_sub5000_r05,greedy,314068,49.07,0
k30M100p09_medium_sub5000_r01,greedy,313112,49.07,0
k30M100p09_medium_sub5000_r02,greedy,313832,49.07,0
k30M100p09_medium_sub5000_r03,greedy,311900,48.18,0
k30M100p09_medium_sub5000_r04,greedy,310836,48.21,0
k30M100p09_medium_sub5000_r05,greedy,310836,49.09,0
k30M100p10_medium_sub5000_r01,greedy,356696,49.22,1
k30M100p10_medium_sub5000_r02,greedy,316884,48.75,0
k30M100p10_medium_sub5000_r03,greedy,314288,48.81,0
k30M100p10_medium_sub5000_r04,greedy,314712,48.72,0
k30M100p10_medium_sub5000_r05,greedy,314380,50.00,0
k30M30p01_medium_sub250_r01,greedy,241536,4.88,0
k30M30p01_medium_sub250_r02,greedy,240784,4.88,0
k30M30p01_medium_sub250_r03,greedy,3024,40.00,0
k30M30p01_medium_sub250_r04,greedy,3024,40.00,0
k30M30p01_medium_sub250_r05,greedy,3472,40.00,0
k30M30p02_medium_sub250_r01,greedy,3648,40.00,0
k30M30p02_medium_sub250_r02,greedy,3472,40.00,0
k30M30p02_medium_sub250_r03,greedy,3024,40.00,0
k30M30p02_medium_sub250_r04,greedy,3032,40.00,0
k30M30p02_medium_sub250_r05,greedy,3472,40.00,0
k30M30p03_medium_sub250_r01,greedy,3024,40.00,0
k30M30p03_medium_sub250_r02,greedy,160828,5.32,0
k30M30p03_medium_sub250_r03,greedy,161184,5.32,0
k30M30p03_medium_sub250_r04,greedy,161300,5.32,0
k30M30p03_medium_sub250_r05,greedy,162216,5.32,0
k30M30p04_medium_sub250_r01,greedy,161616,5.32,0
k30M30p04_medium_sub250_r02,greedy,160984,5.32,0
k30M30p04_medium_sub250_r03,greedy,161464,5.32,0
k30M30p04_medium_sub250_r04,greedy,161184,5.32,0
k30M30p04_medium_sub250_r05,greedy,161968,5.32,0
k30M30p05_medium_sub250_r01,greedy,162060,5.32,0
k30M30p05_medium_sub250_r02,greedy,162500,5.32,0
k30M30p05_medium_sub250_r03,greedy,161568,5.32,0
k30M30p05_medium_sub250_r04,greedy,161736,5.32,0
k30M30p05_medium_sub250_r05,greedy,161096,5.32,0
k30M30p06_medium_sub250_r01,greedy,161628,5.32,0
